"","Year","Site","Sub_site","Transect","Sum_abundance","Density","Lat","Long"
"29",2011,"San_Miguel","South",2,0,0,31.906184,-116.7533225
"30",2011,"San_Miguel","South",3,0,0,31.906184,-116.7533225
"31",2012,"Baja_Mar","North",1,7,0.466666666666667,32.01655,-116.882683
"32",2012,"Baja_Mar","North",2,0,0,32.01655,-116.882683
"33",2012,"Baja_Mar","North",3,4,0.266666666666667,32.01655,-116.882683
"34",2012,"Baja_Mar","South",1,0,0,32.007817,-116.875617
"35",2012,"Baja_Mar","South",2,0,0,32.007817,-116.875617
"36",2012,"Baja_Mar","South",3,5,0.333333333333333,32.007817,-116.875617
"37",2012,"Campo_Lopez","North",1,28,1.86666666666667,32.157503,-116.911891
"38",2012,"Campo_Lopez","North",2,219,14.6,32.157503,-116.911891
"39",2012,"Campo_Lopez","North",3,155,10.3333333333333,32.157503,-116.911891
"40",2012,"Campo_Lopez","South",1,2,0.133333333333333,32.154178,-116.911088
"41",2012,"Campo_Lopez","South",2,0,0,32.154178,-116.911088
"42",2012,"Campo_Lopez","South",3,0,0,32.154178,-116.911088
"43",2012,"Isla_Todos_Santos_Expuesto","North",1,87,5.8,31.801562,-116.799888
"44",2012,"Isla_Todos_Santos_Expuesto","North",2,81,5.4,31.801562,-116.799888
"45",2012,"Isla_Todos_Santos_Expuesto","North",3,34,2.26666666666667,31.801562,-116.799888
"46",2012,"Isla_Todos_Santos_Expuesto","South",1,9,0.6,31.800083,-116.796467
"47",2012,"Isla_Todos_Santos_Expuesto","South",2,13,0.866666666666667,31.800083,-116.796467
"48",2012,"Isla_Todos_Santos_Expuesto","South",3,2,0.133333333333333,31.800083,-116.796467
"49",2012,"Sal_Si_Puedes","North",1,27,1.8,31.982592,-116.842221
"50",2012,"Sal_Si_Puedes","North",2,9,0.6,31.982592,-116.842221
"51",2012,"Sal_Si_Puedes","North",3,2,0.133333333333333,31.982592,-116.842221
"52",2012,"Sal_Si_Puedes","South",1,0,0,31.976803,-116.833583
"53",2012,"Sal_Si_Puedes","South",2,7,0.466666666666667,31.976803,-116.833583
"54",2012,"Sal_Si_Puedes","South",3,49,3.26666666666667,31.976803,-116.833583
"55",2012,"San_Miguel","North",1,0,0,31.9104345,-116.757552
"56",2012,"San_Miguel","North",2,0,0,31.9104345,-116.757552
"57",2012,"San_Miguel","North",3,3,0.2,31.9104345,-116.757552
"58",2012,"San_Miguel","South",1,0,0,31.906184,-116.7533225
"59",2012,"San_Miguel","South",2,0,0,31.906184,-116.7533225
"60",2012,"San_Miguel","South",3,0,0,31.906184,-116.7533225
"61",2013,"Baja_Mar","North",1,51,3.4,32.01655,-116.882683
"62",2013,"Baja_Mar","North",2,24,1.6,32.01655,-116.882683
"63",2013,"Baja_Mar","North",3,19,1.26666666666667,32.01655,-116.882683
"64",2013,"Baja_Mar","South",1,0,0,32.007817,-116.875617
"65",2013,"Baja_Mar","South",2,1,0.0666666666666667,32.007817,-116.875617
"66",2013,"Baja_Mar","South",3,0,0,32.007817,-116.875617
"67",2013,"Isla_Todos_Santos_Expuesto","North",1,27,1.8,31.801562,-116.799888
"68",2013,"Isla_Todos_Santos_Expuesto","North",2,34,2.26666666666667,31.801562,-116.799888
"69",2013,"Isla_Todos_Santos_Expuesto","North",3,39,2.6,31.801562,-116.799888
"70",2013,"Isla_Todos_Santos_Expuesto","South",1,39,2.6,31.800083,-116.796467
"71",2013,"Isla_Todos_Santos_Expuesto","South",2,39,2.6,31.800083,-116.796467
"72",2013,"Isla_Todos_Santos_Expuesto","South",3,28,1.86666666666667,31.800083,-116.796467
"73",2013,"Isla_Todos_Santos_Protegido","North",1,6,0.4,31.814561,-116.801723
"74",2013,"Isla_Todos_Santos_Protegido","North",2,20,1.33333333333333,31.814561,-116.801723
"75",2013,"Isla_Todos_Santos_Protegido","North",3,22,1.46666666666667,31.814561,-116.801723
"76",2013,"Isla_Todos_Santos_Protegido","South",1,18,1.2,31.810967,-116.799483
"77",2013,"Isla_Todos_Santos_Protegido","South",2,27,1.8,31.810967,-116.799483
"78",2013,"Isla_Todos_Santos_Protegido","South",3,16,1.06666666666667,31.810967,-116.799483
"79",2013,"Sal_Si_Puedes","North",1,0,0,31.982592,-116.842221
"80",2013,"Sal_Si_Puedes","North",2,0,0,31.982592,-116.842221
"81",2013,"Sal_Si_Puedes","North",3,15,1,31.982592,-116.842221
"82",2013,"Sal_Si_Puedes","South",1,39,2.6,31.976803,-116.833583
"83",2013,"Sal_Si_Puedes","South",2,47,3.13333333333333,31.976803,-116.833583
"84",2013,"Sal_Si_Puedes","South",3,4,0.266666666666667,31.976803,-116.833583
"85",2013,"San_Miguel","North",1,0,0,31.9104345,-116.757552
"86",2013,"San_Miguel","North",2,0,0,31.9104345,-116.757552
"87",2013,"San_Miguel","North",3,1,0.0666666666666667,31.9104345,-116.757552
"88",2013,"San_Miguel","South",1,0,0,31.906184,-116.7533225
"89",2013,"San_Miguel","South",2,5,0.333333333333333,31.906184,-116.7533225
"90",2013,"San_Miguel","South",3,0,0,31.906184,-116.7533225
"91",2016,"Isla_Todos_Santos_Expuesto","North",1,41,1.025,31.801562,-116.799888
"92",2016,"Isla_Todos_Santos_Expuesto","North",2,40,1,31.801562,-116.799888
"93",2016,"Isla_Todos_Santos_Expuesto","North",3,31,0.775,31.801562,-116.799888
"94",2016,"Isla_Todos_Santos_Expuesto","South",1,19,0.475,31.800083,-116.796467
"95",2016,"Isla_Todos_Santos_Expuesto","South",2,40,1,31.800083,-116.796467
"96",2016,"Isla_Todos_Santos_Expuesto","South",3,0,0,31.800083,-116.796467
"97",2016,"Isla_Todos_Santos_Protegido","North",1,20,0.5,31.814561,-116.801723
"98",2016,"Isla_Todos_Santos_Protegido","North",2,8,0.2,31.814561,-116.801723
"99",2016,"Isla_Todos_Santos_Protegido","North",3,13,0.325,31.814561,-116.801723
"100",2016,"Isla_Todos_Santos_Protegido","South",1,2,0.05,31.810967,-116.799483
"101",2016,"Isla_Todos_Santos_Protegido","South",2,3,0.075,31.810967,-116.799483
"102",2016,"Isla_Todos_Santos_Protegido","South",3,2,0.05,31.810967,-116.799483
"103",2019,"Baja_Mar","North",1,699,23.3,32.01655,-116.882683
"104",2019,"Baja_Mar","North",2,475,15.8333333333333,32.01655,-116.882683
"105",2019,"Baja_Mar","North",3,790,26.3333333333333,32.01655,-116.882683
"106",2019,"Baja_Mar","South",1,14,0.466666666666667,32.007817,-116.875617
"107",2019,"Baja_Mar","South",2,123,4.1,32.007817,-116.875617
"108",2019,"Baja_Mar","South",3,0,0,32.007817,-116.875617
"109",2019,"Campo_Lopez","North",1,221,7.36666666666667,32.157503,-116.911891
"110",2019,"Campo_Lopez","North",2,163,5.43333333333333,32.157503,-116.911891
"111",2019,"Campo_Lopez","North",3,173,5.76666666666667,32.157503,-116.911891
"112",2019,"Campo_Lopez","South",1,36,1.2,32.154178,-116.911088
"113",2019,"Campo_Lopez","South",2,31,1.03333333333333,32.154178,-116.911088
"114",2019,"Campo_Lopez","South",3,54,1.8,32.154178,-116.911088
"115",2019,"Isla_Todos_Santos_Expuesto","North",1,41,1.36666666666667,31.801562,-116.799888
"116",2019,"Isla_Todos_Santos_Expuesto","North",2,136,4.53333333333333,31.801562,-116.799888
"117",2019,"Isla_Todos_Santos_Expuesto","North",3,5,0.166666666666667,31.801562,-116.799888
"118",2019,"Isla_Todos_Santos_Expuesto","South",1,560,18.6666666666667,31.800083,-116.796467
"119",2019,"Isla_Todos_Santos_Expuesto","South",2,824,27.4666666666667,31.800083,-116.796467
"120",2019,"Isla_Todos_Santos_Expuesto","South",3,248,8.26666666666667,31.800083,-116.796467
"121",2019,"Isla_Todos_Santos_Protegido","North",1,0,0,31.814561,-116.801723
"122",2019,"Isla_Todos_Santos_Protegido","North",2,4,0.133333333333333,31.814561,-116.801723
"123",2019,"Isla_Todos_Santos_Protegido","North",3,45,1.5,31.814561,-116.801723
"124",2019,"Isla_Todos_Santos_Protegido","South",1,0,0,31.810967,-116.799483
"125",2019,"Isla_Todos_Santos_Protegido","South",2,21,0.7,31.810967,-116.799483
"126",2019,"Isla_Todos_Santos_Protegido","South",3,20,0.666666666666667,31.810967,-116.799483
"127",2019,"Sal_Si_Puedes","North",1,156,5.2,31.982592,-116.842221
"128",2019,"Sal_Si_Puedes","North",2,192,6.4,31.982592,-116.842221
"129",2019,"Sal_Si_Puedes","North",3,162,5.4,31.982592,-116.842221
"130",2019,"Sal_Si_Puedes","South",1,48,1.6,31.976803,-116.833583
"131",2019,"Sal_Si_Puedes","South",2,47,1.56666666666667,31.976803,-116.833583
"132",2019,"Sal_Si_Puedes","South",3,44,1.46666666666667,31.976803,-116.833583
"133",2019,"San_Miguel","North",1,43,1.43333333333333,31.9104345,-116.757552
"134",2019,"San_Miguel","North",2,24,0.8,31.9104345,-116.757552
"135",2019,"San_Miguel","North",3,45,1.5,31.9104345,-116.757552
"136",2019,"San_Miguel","South",1,6,0.2,31.906184,-116.7533225
"137",2019,"San_Miguel","South",2,4,0.133333333333333,31.906184,-116.7533225
"138",2019,"San_Miguel","South",3,0,0,31.906184,-116.7533225
"139",2020,"Baja_Mar","North",1,230,7.66666666666667,32.01655,-116.882683
"140",2020,"Baja_Mar","North",2,157,5.23333333333333,32.01655,-116.882683
"141",2020,"Baja_Mar","North",3,200,6.66666666666667,32.01655,-116.882683
"142",2020,"Baja_Mar","South",1,277,9.23333333333333,32.007817,-116.875617
"143",2020,"Baja_Mar","South",2,321,10.7,32.007817,-116.875617
"144",2020,"Baja_Mar","South",3,262,8.73333333333333,32.007817,-116.875617
"145",2020,"Campo_Lopez","North",1,512,17.0666666666667,32.157503,-116.911891
"146",2020,"Campo_Lopez","North",2,600,20,32.157503,-116.911891
"147",2020,"Campo_Lopez","North",3,566,18.8666666666667,32.157503,-116.911891
"148",2020,"Campo_Lopez","South",1,100,3.33333333333333,32.154178,-116.911088
"149",2020,"Campo_Lopez","South",2,65,2.16666666666667,32.154178,-116.911088
"150",2020,"Campo_Lopez","South",3,79,2.63333333333333,32.154178,-116.911088
"151",2020,"Isla_Todos_Santos_Expuesto","North",1,161,5.36666666666667,31.801562,-116.799888
"152",2020,"Isla_Todos_Santos_Expuesto","North",2,152,5.06666666666667,31.801562,-116.799888
"153",2020,"Isla_Todos_Santos_Expuesto","North",3,93,3.1,31.801562,-116.799888
"154",2020,"Isla_Todos_Santos_Expuesto","South",1,304,10.1333333333333,31.800083,-116.796467
"155",2020,"Isla_Todos_Santos_Expuesto","South",2,269,8.96666666666667,31.800083,-116.796467
"156",2020,"Isla_Todos_Santos_Expuesto","South",3,388,12.9333333333333,31.800083,-116.796467
"157",2020,"Isla_Todos_Santos_Protegido","North",1,34,1.13333333333333,31.814561,-116.801723
"158",2020,"Isla_Todos_Santos_Protegido","North",2,9,0.3,31.814561,-116.801723
"159",2020,"Isla_Todos_Santos_Protegido","North",3,49,1.63333333333333,31.814561,-116.801723
"160",2020,"Isla_Todos_Santos_Protegido","South",1,14,0.466666666666667,31.810967,-116.799483
"161",2020,"Isla_Todos_Santos_Protegido","South",2,13,0.433333333333333,31.810967,-116.799483
"162",2020,"Isla_Todos_Santos_Protegido","South",3,12,0.4,31.810967,-116.799483
"163",2020,"Sal_Si_Puedes","North",1,31,1.03333333333333,31.982592,-116.842221
"164",2020,"Sal_Si_Puedes","North",2,132,4.4,31.982592,-116.842221
"165",2020,"Sal_Si_Puedes","North",3,63,2.1,31.982592,-116.842221
"166",2020,"Sal_Si_Puedes","South",1,34,1.13333333333333,31.976803,-116.833583
"167",2020,"Sal_Si_Puedes","South",2,34,1.13333333333333,31.976803,-116.833583
"168",2020,"Sal_Si_Puedes","South",3,26,0.866666666666667,31.976803,-116.833583
"169",2020,"San_Miguel","North",1,8,0.266666666666667,31.9104345,-116.757552
"170",2020,"San_Miguel","North",2,18,0.6,31.9104345,-116.757552
"171",2020,"San_Miguel","North",3,17,0.566666666666667,31.9104345,-116.757552
"172",2020,"San_Miguel","South",1,2,0.0666666666666667,31.906184,-116.7533225
"173",2020,"San_Miguel","South",2,0,0,31.906184,-116.7533225
"174",2020,"San_Miguel","South",3,7,0.233333333333333,31.906184,-116.7533225
"175",2021,"Baja_Mar","North",1,19,0.633333333333333,32.01655,-116.882683
"176",2021,"Baja_Mar","North",2,15,0.5,32.01655,-116.882683
"177",2021,"Baja_Mar","North",3,173,5.76666666666667,32.01655,-116.882683
"178",2021,"Baja_Mar","South",1,0.425,0.0141666666666667,32.007817,-116.875617
"179",2021,"Baja_Mar","South",2,1.15,0.0383333333333333,32.007817,-116.875617
"180",2021,"Baja_Mar","South",3,46,1.53333333333333,32.007817,-116.875617
"181",2021,"Campo_Lopez","North",1,92,3.06666666666667,32.157503,-116.911891
"182",2021,"Campo_Lopez","North",2,72,2.4,32.157503,-116.911891
"183",2021,"Campo_Lopez","North",3,55,1.83333333333333,32.157503,-116.911891
"184",2021,"Campo_Lopez","South",1,17,0.566666666666667,32.154178,-116.911088
"185",2021,"Campo_Lopez","South",2,6,0.2,32.154178,-116.911088
"186",2021,"Campo_Lopez","South",3,17,0.566666666666667,32.154178,-116.911088
"187",2021,"Isla_Todos_Santos_Expuesto","North",1,397,13.2333333333333,31.801562,-116.799888
"188",2021,"Isla_Todos_Santos_Expuesto","North",2,824,27.4666666666667,31.801562,-116.799888
"189",2021,"Isla_Todos_Santos_Expuesto","North",3,553,18.4333333333333,31.801562,-116.799888
"190",2021,"Isla_Todos_Santos_Expuesto","South",1,47,1.56666666666667,31.800083,-116.796467
"191",2021,"Isla_Todos_Santos_Expuesto","South",2,53,1.76666666666667,31.800083,-116.796467
"192",2021,"Isla_Todos_Santos_Expuesto","South",3,32,1.06666666666667,31.800083,-116.796467
"193",2021,"Isla_Todos_Santos_Protegido","North",1,5,0.166666666666667,31.814561,-116.801723
"194",2021,"Isla_Todos_Santos_Protegido","North",2,11,0.366666666666667,31.814561,-116.801723
"195",2021,"Isla_Todos_Santos_Protegido","North",3,85,2.83333333333333,31.814561,-116.801723
"196",2021,"Isla_Todos_Santos_Protegido","South",1,5,0.166666666666667,31.810967,-116.799483
"197",2021,"Isla_Todos_Santos_Protegido","South",2,4,0.133333333333333,31.810967,-116.799483
"198",2021,"Isla_Todos_Santos_Protegido","South",3,6,0.2,31.810967,-116.799483
"199",2021,"Sal_Si_Puedes","North",1,33,1.1,31.982592,-116.842221
"200",2021,"Sal_Si_Puedes","North",2,4,0.133333333333333,31.982592,-116.842221
"201",2021,"Sal_Si_Puedes","North",3,12,0.4,31.982592,-116.842221
"202",2021,"Sal_Si_Puedes","South",1,12,0.4,31.976803,-116.833583
"203",2021,"Sal_Si_Puedes","South",2,22,0.733333333333333,31.976803,-116.833583
"204",2021,"Sal_Si_Puedes","South",3,36,1.2,31.976803,-116.833583
"205",2021,"San_Miguel","North",1,0,0,31.9104345,-116.757552
"206",2021,"San_Miguel","North",2,56,1.86666666666667,31.9104345,-116.757552
"207",2021,"San_Miguel","North",3,45,1.5,31.9104345,-116.757552
"208",2021,"San_Miguel","South",1,2,0.0666666666666667,31.906184,-116.7533225
"209",2021,"San_Miguel","South",2,0,0,31.906184,-116.7533225
"210",2021,"San_Miguel","South",3,0,0,31.906184,-116.7533225
"211",2022,"Baja_Mar","North",1,107,1.78333333333333,32.01655,-116.882683
"212",2022,"Baja_Mar","North",2,123,2.05,32.01655,-116.882683
"213",2022,"Baja_Mar","North",3,63,1.05,32.01655,-116.882683
"214",2022,"Baja_Mar","South",1,72,1.2,32.007817,-116.875617
"215",2022,"Baja_Mar","South",2,77,1.28333333333333,32.007817,-116.875617
"216",2022,"Baja_Mar","South",3,60,1,32.007817,-116.875617
"217",2022,"Campo_Lopez","North",1,71,1.18333333333333,32.157503,-116.911891
"218",2022,"Campo_Lopez","North",2,37,0.616666666666667,32.157503,-116.911891
"219",2022,"Campo_Lopez","North",3,46,0.766666666666667,32.157503,-116.911891
"220",2022,"Campo_Lopez","South",1,59,0.983333333333333,32.154178,-116.911088
"221",2022,"Campo_Lopez","South",2,18,0.3,32.154178,-116.911088
"222",2022,"Campo_Lopez","South",3,23,0.383333333333333,32.154178,-116.911088
"223",2022,"Isla_Todos_Santos_Expuesto","North",1,115,1.91666666666667,31.801562,-116.799888
"224",2022,"Isla_Todos_Santos_Expuesto","North",2,106,1.76666666666667,31.801562,-116.799888
"225",2022,"Isla_Todos_Santos_Expuesto","North",3,92,1.53333333333333,31.801562,-116.799888
"226",2022,"Isla_Todos_Santos_Expuesto","South",1,153,2.55,31.800083,-116.796467
"227",2022,"Isla_Todos_Santos_Expuesto","South",2,133,2.21666666666667,31.800083,-116.796467
"228",2022,"Isla_Todos_Santos_Expuesto","South",3,178,2.96666666666667,31.800083,-116.796467
"229",2022,"Isla_Todos_Santos_Protegido","North",1,342,5.7,31.814561,-116.801723
"230",2022,"Isla_Todos_Santos_Protegido","North",2,309,5.15,31.814561,-116.801723
"231",2022,"Isla_Todos_Santos_Protegido","North",3,300,5,31.814561,-116.801723
"232",2022,"Isla_Todos_Santos_Protegido","South",1,135,2.25,31.810967,-116.799483
"233",2022,"Isla_Todos_Santos_Protegido","South",2,136,2.26666666666667,31.810967,-116.799483
"234",2022,"Sal_Si_Puedes","North",1,80,1.33333333333333,31.982592,-116.842221
"235",2022,"Sal_Si_Puedes","North",2,35,0.583333333333333,31.982592,-116.842221
"236",2022,"Sal_Si_Puedes","North",3,13,0.216666666666667,31.982592,-116.842221
"237",2022,"Sal_Si_Puedes","South",1,50,0.833333333333333,31.976803,-116.833583
"238",2022,"Sal_Si_Puedes","South",2,44,0.733333333333333,31.976803,-116.833583
"239",2022,"Sal_Si_Puedes","South",3,115,1.91666666666667,31.976803,-116.833583
"240",2022,"San_Miguel","North",1,96,1.6,31.9104345,-116.757552
"241",2022,"San_Miguel","North",2,80,1.33333333333333,31.9104345,-116.757552
"242",2022,"San_Miguel","North",3,98,1.63333333333333,31.9104345,-116.757552
"243",2022,"San_Miguel","South",1,59,0.983333333333333,31.906184,-116.7533225
"244",2022,"San_Miguel","South",2,0,0,31.906184,-116.7533225
"245",2022,"San_Miguel","South",3,36,0.6,31.906184,-116.7533225
"246",2023,"Baja_Mar","North",1,558,9.3,32.01655,-116.882683
"247",2023,"Baja_Mar","North",2,440,7.33333333333333,32.01655,-116.882683
"248",2023,"Baja_Mar","North",3,530,8.83333333333333,32.01655,-116.882683
"249",2023,"Baja_Mar","South",1,81,1.35,32.007817,-116.875617
"250",2023,"Baja_Mar","South",2,124,2.06666666666667,32.007817,-116.875617
"251",2023,"Baja_Mar","South",3,166,2.76666666666667,32.007817,-116.875617
"252",2023,"Campo_Lopez","North",1,261,4.35,32.157503,-116.911891
"253",2023,"Campo_Lopez","North",2,378,6.3,32.157503,-116.911891
"254",2023,"Campo_Lopez","North",3,306,5.1,32.157503,-116.911891
"255",2023,"Campo_Lopez","South",1,33,0.55,32.154178,-116.911088
"256",2023,"Campo_Lopez","South",2,20,0.333333333333333,32.154178,-116.911088
"257",2023,"Campo_Lopez","South",3,53,0.883333333333333,32.154178,-116.911088
"258",2023,"Isla_Todos_Santos_Expuesto","North",1,144,2.4,31.801562,-116.799888
"259",2023,"Isla_Todos_Santos_Expuesto","North",2,101,1.68333333333333,31.801562,-116.799888
"260",2023,"Isla_Todos_Santos_Expuesto","North",3,90,1.5,31.801562,-116.799888
"261",2023,"Isla_Todos_Santos_Expuesto","South",1,344.000000154,5.7333333359,31.800083,-116.796467
"262",2023,"Isla_Todos_Santos_Expuesto","South",2,265.466666604,4.4244444434,31.800083,-116.796467
"263",2023,"Isla_Todos_Santos_Expuesto","South",3,231,3.85,31.800083,-116.796467
"264",2023,"Isla_Todos_Santos_Protegido","North",1,114,1.9,31.814561,-116.801723
"265",2023,"Isla_Todos_Santos_Protegido","North",2,149,2.48333333333333,31.814561,-116.801723
"266",2023,"Isla_Todos_Santos_Protegido","North",3,31,0.516666666666667,31.814561,-116.801723
"267",2023,"Isla_Todos_Santos_Protegido","South",1,275,4.58333333333333,31.810967,-116.799483
"268",2023,"Isla_Todos_Santos_Protegido","South",2,311.9999999,5.19999999833333,31.810967,-116.799483
"269",2023,"Isla_Todos_Santos_Protegido","South",3,445,7.41666666666667,31.810967,-116.799483
"270",2023,"Sal_Si_Puedes","North",1,186.1,3.10166666666667,31.982592,-116.842221
"271",2023,"Sal_Si_Puedes","North",2,348.4,5.80666666666667,31.982592,-116.842221
"272",2023,"Sal_Si_Puedes","North",3,206,3.43333333333333,31.982592,-116.842221
"273",2023,"Sal_Si_Puedes","South",1,119,1.98333333333333,31.976803,-116.833583
"274",2023,"Sal_Si_Puedes","South",2,178,2.96666666666667,31.976803,-116.833583
"275",2023,"Sal_Si_Puedes","South",3,126,2.1,31.976803,-116.833583
"276",2023,"San_Miguel","North",1,353.6,5.89333333333333,31.9104345,-116.757552
"277",2023,"San_Miguel","North",2,601,10.0166666666667,31.9104345,-116.757552
"278",2023,"San_Miguel","North",3,277.266666573,4.62111110955,31.9104345,-116.757552
"279",2023,"San_Miguel","South",1,102,1.7,31.906184,-116.7533225
"280",2023,"San_Miguel","South",2,341.33333347,5.68888889116667,31.906184,-116.7533225
"281",2023,"San_Miguel","South",3,1205.999999585,20.0999999930833,31.906184,-116.7533225
