"","ANIO","SITIO","TRANSECTO","ESPECIE","ABUNDANCIA","COMUNIDAD","LATITUD","LONGITUD"
"44",2006,"La Plana",21,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"45",2006,"La Plana",22,"Ecklonia arborea",10,"Isla Natividad",27.84616,-115.1653
"46",2006,"La Plana",23,"Ecklonia arborea",10,"Isla Natividad",27.84616,-115.1653
"47",2006,"La Plana",24,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"48",2006,"La Plana",25,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"49",2006,"La Plana",26,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"50",2006,"La Plana",27,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"51",2006,"La Plana",28,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"52",2006,"La Plana",29,"Ecklonia arborea",5,"Isla Natividad",27.84616,-115.1653
"53",2006,"La Plana",30,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"54",2006,"La Plana",31,"Ecklonia arborea",68,"Isla Natividad",27.84616,-115.1653
"55",2006,"Punta Prieta",1,"Ecklonia arborea",26,"Isla Natividad",27.88881,-115.1919
"56",2006,"Punta Prieta",2,"Ecklonia arborea",63,"Isla Natividad",27.88881,-115.1919
"57",2006,"Punta Prieta",3,"Ecklonia arborea",54,"Isla Natividad",27.88881,-115.1919
"58",2006,"Punta Prieta",4,"Ecklonia arborea",33,"Isla Natividad",27.88881,-115.1919
"59",2006,"Punta Prieta",5,"Ecklonia arborea",16,"Isla Natividad",27.88881,-115.1919
"60",2006,"Punta Prieta",6,"Ecklonia arborea",150,"Isla Natividad",27.88881,-115.1919
"61",2006,"Punta Prieta",7,"Ecklonia arborea",6,"Isla Natividad",27.88881,-115.1919
"62",2006,"Punta Prieta",8,"Ecklonia arborea",24,"Isla Natividad",27.88881,-115.1919
"63",2006,"Punta Prieta",9,"Ecklonia arborea",0,"Isla Natividad",27.88881,-115.1919
"64",2006,"Punta Prieta",10,"Ecklonia arborea",45,"Isla Natividad",27.88881,-115.1919
"65",2006,"Punta Prieta",11,"Ecklonia arborea",9,"Isla Natividad",27.88881,-115.1919
"66",2006,"Punta Prieta",12,"Ecklonia arborea",100,"Isla Natividad",27.88881,-115.1919
"67",2007,"Babencho",1,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"68",2007,"Babencho",2,"Ecklonia arborea",136,"Isla Natividad",27.86058,-115.1888
"69",2007,"Babencho",3,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"70",2007,"Babencho",4,"Ecklonia arborea",8,"Isla Natividad",27.86058,-115.1888
"71",2007,"Babencho",5,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"72",2007,"Babencho",6,"Ecklonia arborea",2,"Isla Natividad",27.86058,-115.1888
"73",2007,"Babencho",7,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"74",2007,"Babencho",8,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"75",2007,"Babencho",9,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"76",2007,"Babencho",10,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"77",2007,"Babencho",11,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"78",2007,"La Dulce",1,"Ecklonia arborea",34,"Isla Natividad",27.84501,-115.1428
"79",2007,"La Dulce",2,"Ecklonia arborea",50,"Isla Natividad",27.84501,-115.1428
"80",2007,"La Dulce",3,"Ecklonia arborea",8,"Isla Natividad",27.84501,-115.1428
"81",2007,"La Dulce",4,"Ecklonia arborea",39,"Isla Natividad",27.84501,-115.1428
"82",2007,"La Dulce",5,"Ecklonia arborea",4,"Isla Natividad",27.84501,-115.1428
"83",2007,"La Dulce",6,"Ecklonia arborea",50,"Isla Natividad",27.84501,-115.1428
"84",2007,"La Dulce",7,"Ecklonia arborea",13,"Isla Natividad",27.84501,-115.1428
"85",2007,"La Dulce",8,"Ecklonia arborea",33,"Isla Natividad",27.84501,-115.1428
"86",2007,"La Dulce",9,"Ecklonia arborea",50,"Isla Natividad",27.84501,-115.1428
"87",2007,"La Dulce",10,"Ecklonia arborea",50,"Isla Natividad",27.84501,-115.1428
"88",2007,"La Dulce",11,"Ecklonia arborea",50,"Isla Natividad",27.84501,-115.1428
"89",2007,"La Dulce",12,"Ecklonia arborea",20,"Isla Natividad",27.84501,-115.1428
"90",2007,"La Guanera",1,"Ecklonia arborea",21,"Isla Natividad",27.87691,-115.1699
"91",2007,"La Guanera",2,"Ecklonia arborea",6,"Isla Natividad",27.87691,-115.1699
"92",2007,"La Guanera",3,"Ecklonia arborea",10,"Isla Natividad",27.87691,-115.1699
"93",2007,"La Guanera",4,"Ecklonia arborea",32,"Isla Natividad",27.87691,-115.1699
"94",2007,"La Guanera",5,"Ecklonia arborea",24,"Isla Natividad",27.87691,-115.1699
"95",2007,"La Guanera",6,"Ecklonia arborea",24,"Isla Natividad",27.87691,-115.1699
"96",2007,"La Guanera",7,"Ecklonia arborea",22,"Isla Natividad",27.87691,-115.1699
"97",2007,"La Guanera",8,"Ecklonia arborea",19,"Isla Natividad",27.87691,-115.1699
"98",2007,"La Guanera",9,"Ecklonia arborea",20,"Isla Natividad",27.87691,-115.1699
"99",2007,"La Guanera",10,"Ecklonia arborea",44,"Isla Natividad",27.87691,-115.1699
"100",2007,"La Guanera",11,"Ecklonia arborea",31,"Isla Natividad",27.87691,-115.1699
"101",2007,"La Plana",1,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"102",2007,"La Plana",2,"Ecklonia arborea",14,"Isla Natividad",27.84616,-115.1653
"103",2007,"La Plana",3,"Ecklonia arborea",7,"Isla Natividad",27.84616,-115.1653
"104",2007,"La Plana",4,"Ecklonia arborea",26,"Isla Natividad",27.84616,-115.1653
"105",2007,"La Plana",5,"Ecklonia arborea",4,"Isla Natividad",27.84616,-115.1653
"106",2007,"La Plana",6,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"107",2007,"La Plana",7,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"108",2007,"La Plana",8,"Ecklonia arborea",47,"Isla Natividad",27.84616,-115.1653
"109",2007,"La Plana",9,"Ecklonia arborea",13,"Isla Natividad",27.84616,-115.1653
"110",2007,"La Plana",10,"Ecklonia arborea",7,"Isla Natividad",27.84616,-115.1653
"111",2007,"La Plana",11,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"112",2007,"La Plana",12,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"113",2007,"La Plana",13,"Ecklonia arborea",12,"Isla Natividad",27.84616,-115.1653
"114",2007,"La Plana",14,"Ecklonia arborea",7,"Isla Natividad",27.84616,-115.1653
"115",2007,"La Plana",15,"Ecklonia arborea",3,"Isla Natividad",27.84616,-115.1653
"116",2007,"La Plana",16,"Ecklonia arborea",3,"Isla Natividad",27.84616,-115.1653
"117",2007,"La Plana",17,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"118",2007,"La Plana",18,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"119",2007,"La Plana",19,"Ecklonia arborea",3,"Isla Natividad",27.84616,-115.1653
"120",2007,"Punta Prieta",1,"Ecklonia arborea",71,"Isla Natividad",27.88881,-115.1919
"121",2007,"Punta Prieta",2,"Ecklonia arborea",71,"Isla Natividad",27.88881,-115.1919
"122",2007,"Punta Prieta",3,"Ecklonia arborea",49,"Isla Natividad",27.88881,-115.1919
"123",2007,"Punta Prieta",4,"Ecklonia arborea",19,"Isla Natividad",27.88881,-115.1919
"124",2007,"Punta Prieta",5,"Ecklonia arborea",18,"Isla Natividad",27.88881,-115.1919
"125",2007,"Punta Prieta",6,"Ecklonia arborea",19,"Isla Natividad",27.88881,-115.1919
"126",2007,"Punta Prieta",7,"Ecklonia arborea",68,"Isla Natividad",27.88881,-115.1919
"127",2007,"Punta Prieta",8,"Ecklonia arborea",94,"Isla Natividad",27.88881,-115.1919
"128",2007,"Punta Prieta",9,"Ecklonia arborea",23,"Isla Natividad",27.88881,-115.1919
"129",2007,"Punta Prieta",10,"Ecklonia arborea",60,"Isla Natividad",27.88881,-115.1919
"130",2007,"Punta Prieta",11,"Ecklonia arborea",50,"Isla Natividad",27.88881,-115.1919
"131",2007,"Punta Prieta",12,"Ecklonia arborea",75,"Isla Natividad",27.88881,-115.1919
"132",2007,"Punta Prieta",13,"Ecklonia arborea",26,"Isla Natividad",27.88881,-115.1919
"133",2007,"Punta Prieta",14,"Ecklonia arborea",1,"Isla Natividad",27.88881,-115.1919
"134",2007,"Punta Prieta",15,"Ecklonia arborea",18,"Isla Natividad",27.88881,-115.1919
"135",2008,"Babencho",1,"Ecklonia arborea",1,"Isla Natividad",27.86058,-115.1888
"136",2008,"Babencho",2,"Ecklonia arborea",5,"Isla Natividad",27.86058,-115.1888
"137",2008,"Babencho",3,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"138",2008,"Babencho",4,"Ecklonia arborea",26,"Isla Natividad",27.86058,-115.1888
"139",2008,"Babencho",5,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"140",2008,"Babencho",6,"Ecklonia arborea",36,"Isla Natividad",27.86058,-115.1888
"141",2008,"Babencho",7,"Ecklonia arborea",4,"Isla Natividad",27.86058,-115.1888
"142",2008,"Babencho",8,"Ecklonia arborea",55,"Isla Natividad",27.86058,-115.1888
"143",2008,"Babencho",9,"Ecklonia arborea",3,"Isla Natividad",27.86058,-115.1888
"144",2008,"Babencho",10,"Ecklonia arborea",30,"Isla Natividad",27.86058,-115.1888
"145",2008,"Babencho",11,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"146",2008,"Babencho",12,"Ecklonia arborea",1,"Isla Natividad",27.86058,-115.1888
"147",2008,"Babencho",13,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"148",2008,"Babencho",14,"Ecklonia arborea",30,"Isla Natividad",27.86058,-115.1888
"149",2008,"La Dulce",1,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"150",2008,"La Dulce",2,"Ecklonia arborea",9,"Isla Natividad",27.84501,-115.1428
"151",2008,"La Dulce",3,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"152",2008,"La Dulce",4,"Ecklonia arborea",6,"Isla Natividad",27.84501,-115.1428
"153",2008,"La Dulce",5,"Ecklonia arborea",6,"Isla Natividad",27.84501,-115.1428
"154",2008,"La Dulce",6,"Ecklonia arborea",14,"Isla Natividad",27.84501,-115.1428
"155",2008,"La Dulce",7,"Ecklonia arborea",6,"Isla Natividad",27.84501,-115.1428
"156",2008,"La Dulce",8,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"157",2008,"La Dulce",9,"Ecklonia arborea",18,"Isla Natividad",27.84501,-115.1428
"158",2008,"La Dulce",10,"Ecklonia arborea",14,"Isla Natividad",27.84501,-115.1428
"159",2008,"La Dulce",11,"Ecklonia arborea",7,"Isla Natividad",27.84501,-115.1428
"160",2008,"La Dulce",12,"Ecklonia arborea",8,"Isla Natividad",27.84501,-115.1428
"161",2008,"La Dulce",13,"Ecklonia arborea",30,"Isla Natividad",27.84501,-115.1428
"162",2008,"La Dulce",14,"Ecklonia arborea",10,"Isla Natividad",27.84501,-115.1428
"163",2008,"La Dulce",15,"Ecklonia arborea",22,"Isla Natividad",27.84501,-115.1428
"164",2008,"La Dulce",16,"Ecklonia arborea",9,"Isla Natividad",27.84501,-115.1428
"165",2008,"La Guanera",1,"Ecklonia arborea",0,"Isla Natividad",27.87691,-115.1699
"166",2008,"La Guanera",2,"Ecklonia arborea",29,"Isla Natividad",27.87691,-115.1699
"167",2008,"La Guanera",3,"Ecklonia arborea",1,"Isla Natividad",27.87691,-115.1699
"168",2008,"La Guanera",4,"Ecklonia arborea",3,"Isla Natividad",27.87691,-115.1699
"169",2008,"La Guanera",5,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"170",2008,"La Guanera",6,"Ecklonia arborea",15,"Isla Natividad",27.87691,-115.1699
"171",2008,"La Guanera",7,"Ecklonia arborea",7,"Isla Natividad",27.87691,-115.1699
"172",2008,"La Guanera",8,"Ecklonia arborea",13,"Isla Natividad",27.87691,-115.1699
"173",2008,"La Guanera",9,"Ecklonia arborea",7,"Isla Natividad",27.87691,-115.1699
"174",2008,"La Guanera",10,"Ecklonia arborea",13,"Isla Natividad",27.87691,-115.1699
"175",2008,"La Guanera",11,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"176",2008,"La Guanera",12,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"177",2008,"La Guanera",13,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"178",2008,"La Guanera",14,"Ecklonia arborea",8,"Isla Natividad",27.87691,-115.1699
"179",2008,"La Guanera",15,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"180",2008,"La Guanera",16,"Ecklonia arborea",1,"Isla Natividad",27.87691,-115.1699
"181",2008,"La Guanera",17,"Ecklonia arborea",30,"Isla Natividad",27.87691,-115.1699
"182",2008,"La Guanera",18,"Ecklonia arborea",5,"Isla Natividad",27.87691,-115.1699
"183",2008,"La Guanera",19,"Ecklonia arborea",29,"Isla Natividad",27.87691,-115.1699
"184",2008,"La Guanera",20,"Ecklonia arborea",8,"Isla Natividad",27.87691,-115.1699
"185",2008,"La Guanera",21,"Ecklonia arborea",23,"Isla Natividad",27.87691,-115.1699
"186",2008,"La Plana",1,"Ecklonia arborea",5,"Isla Natividad",27.84616,-115.1653
"187",2008,"La Plana",2,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"188",2008,"La Plana",3,"Ecklonia arborea",3,"Isla Natividad",27.84616,-115.1653
"189",2008,"La Plana",4,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"190",2008,"La Plana",5,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"191",2008,"La Plana",6,"Ecklonia arborea",6,"Isla Natividad",27.84616,-115.1653
"192",2008,"La Plana",7,"Ecklonia arborea",6,"Isla Natividad",27.84616,-115.1653
"193",2008,"La Plana",8,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"194",2008,"La Plana",9,"Ecklonia arborea",16,"Isla Natividad",27.84616,-115.1653
"195",2008,"La Plana",10,"Ecklonia arborea",9,"Isla Natividad",27.84616,-115.1653
"196",2008,"La Plana",11,"Ecklonia arborea",4,"Isla Natividad",27.84616,-115.1653
"197",2008,"La Plana",12,"Ecklonia arborea",2,"Isla Natividad",27.84616,-115.1653
"198",2008,"La Plana",13,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
"199",2008,"La Plana",14,"Ecklonia arborea",0,"Isla Natividad",27.84616,-115.1653
"200",2008,"La Plana",15,"Ecklonia arborea",16,"Isla Natividad",27.84616,-115.1653
"201",2008,"La Plana",16,"Ecklonia arborea",30,"Isla Natividad",27.84616,-115.1653
"202",2008,"La Plana",17,"Ecklonia arborea",30,"Isla Natividad",27.84616,-115.1653
"203",2008,"La Plana",18,"Ecklonia arborea",18,"Isla Natividad",27.84616,-115.1653
"204",2008,"La Plana",19,"Ecklonia arborea",30,"Isla Natividad",27.84616,-115.1653
"205",2008,"Punta Prieta",1,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"206",2008,"Punta Prieta",2,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"207",2008,"Punta Prieta",3,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"208",2008,"Punta Prieta",4,"Ecklonia arborea",5,"Isla Natividad",27.88881,-115.1919
"209",2008,"Punta Prieta",5,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"210",2008,"Punta Prieta",6,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"211",2008,"Punta Prieta",7,"Ecklonia arborea",13,"Isla Natividad",27.88881,-115.1919
"212",2008,"Punta Prieta",8,"Ecklonia arborea",38,"Isla Natividad",27.88881,-115.1919
"213",2008,"Punta Prieta",9,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"214",2008,"Punta Prieta",10,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"215",2008,"Punta Prieta",11,"Ecklonia arborea",35,"Isla Natividad",27.88881,-115.1919
"216",2008,"Punta Prieta",12,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"217",2008,"Punta Prieta",13,"Ecklonia arborea",24,"Isla Natividad",27.88881,-115.1919
"218",2008,"Punta Prieta",14,"Ecklonia arborea",21,"Isla Natividad",27.88881,-115.1919
"219",2008,"Punta Prieta",15,"Ecklonia arborea",27,"Isla Natividad",27.88881,-115.1919
"220",2008,"Punta Prieta",16,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"221",2008,"Punta Prieta",17,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"222",2008,"Punta Prieta",18,"Ecklonia arborea",10,"Isla Natividad",27.88881,-115.1919
"223",2008,"Punta Prieta",19,"Ecklonia arborea",14,"Isla Natividad",27.88881,-115.1919
"224",2008,"Punta Prieta",20,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"225",2008,"Punta Prieta",21,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"226",2008,"Punta Prieta",22,"Ecklonia arborea",30,"Isla Natividad",27.88881,-115.1919
"227",2009,"Babencho",1,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"228",2009,"Babencho",2,"Ecklonia arborea",31,"Isla Natividad",27.86058,-115.1888
"229",2009,"Babencho",3,"Ecklonia arborea",7,"Isla Natividad",27.86058,-115.1888
"230",2009,"Babencho",4,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"231",2009,"Babencho",5,"Ecklonia arborea",2,"Isla Natividad",27.86058,-115.1888
"232",2009,"Babencho",6,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"233",2009,"Babencho",7,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"234",2009,"Babencho",8,"Ecklonia arborea",13,"Isla Natividad",27.86058,-115.1888
"235",2009,"Babencho",9,"Ecklonia arborea",1,"Isla Natividad",27.86058,-115.1888
"236",2009,"Babencho",10,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"237",2009,"Babencho",11,"Ecklonia arborea",4,"Isla Natividad",27.86058,-115.1888
"238",2009,"Babencho",12,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"239",2009,"Babencho",13,"Ecklonia arborea",0,"Isla Natividad",27.86058,-115.1888
"240",2009,"Babencho",14,"Ecklonia arborea",50,"Isla Natividad",27.86058,-115.1888
"241",2009,"La Dulce",1,"Ecklonia arborea",15,"Isla Natividad",27.84501,-115.1428
"242",2009,"La Dulce",2,"Ecklonia arborea",1,"Isla Natividad",27.84501,-115.1428
"243",2009,"La Dulce",3,"Ecklonia arborea",6,"Isla Natividad",27.84501,-115.1428
"244",2009,"La Dulce",4,"Ecklonia arborea",1,"Isla Natividad",27.84501,-115.1428
"245",2009,"La Dulce",5,"Ecklonia arborea",6,"Isla Natividad",27.84501,-115.1428
"246",2009,"La Dulce",6,"Ecklonia arborea",3,"Isla Natividad",27.84501,-115.1428
"247",2009,"La Dulce",7,"Ecklonia arborea",5,"Isla Natividad",27.84501,-115.1428
"248",2009,"La Dulce",8,"Ecklonia arborea",17,"Isla Natividad",27.84501,-115.1428
"249",2009,"La Dulce",9,"Ecklonia arborea",2,"Isla Natividad",27.84501,-115.1428
"250",2009,"La Dulce",10,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"251",2009,"La Dulce",11,"Ecklonia arborea",7,"Isla Natividad",27.84501,-115.1428
"252",2009,"La Dulce",12,"Ecklonia arborea",2,"Isla Natividad",27.84501,-115.1428
"253",2009,"La Dulce",13,"Ecklonia arborea",3,"Isla Natividad",27.84501,-115.1428
"254",2009,"La Dulce",14,"Ecklonia arborea",9,"Isla Natividad",27.84501,-115.1428
"255",2009,"La Dulce",15,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"256",2009,"La Dulce",16,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"257",2009,"La Dulce",17,"Ecklonia arborea",2,"Isla Natividad",27.84501,-115.1428
"258",2009,"La Dulce",18,"Ecklonia arborea",2,"Isla Natividad",27.84501,-115.1428
"259",2009,"La Dulce",19,"Ecklonia arborea",1,"Isla Natividad",27.84501,-115.1428
"260",2009,"La Dulce",20,"Ecklonia arborea",5,"Isla Natividad",27.84501,-115.1428
"261",2009,"La Dulce",21,"Ecklonia arborea",7,"Isla Natividad",27.84501,-115.1428
"262",2009,"La Dulce",22,"Ecklonia arborea",5,"Isla Natividad",27.84501,-115.1428
"263",2009,"La Dulce",23,"Ecklonia arborea",4,"Isla Natividad",27.84501,-115.1428
"264",2009,"La Dulce",24,"Ecklonia arborea",0,"Isla Natividad",27.84501,-115.1428
"265",2009,"La Dulce",25,"Ecklonia arborea",7,"Isla Natividad",27.84501,-115.1428
"266",2009,"La Guanera",1,"Ecklonia arborea",31,"Isla Natividad",27.87691,-115.1699
"267",2009,"La Guanera",2,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"268",2009,"La Guanera",3,"Ecklonia arborea",8,"Isla Natividad",27.87691,-115.1699
"269",2009,"La Guanera",4,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"270",2009,"La Guanera",5,"Ecklonia arborea",16,"Isla Natividad",27.87691,-115.1699
"271",2009,"La Guanera",6,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"272",2009,"La Guanera",7,"Ecklonia arborea",1,"Isla Natividad",27.87691,-115.1699
"273",2009,"La Guanera",8,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"274",2009,"La Guanera",9,"Ecklonia arborea",19,"Isla Natividad",27.87691,-115.1699
"275",2009,"La Guanera",10,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"276",2009,"La Guanera",11,"Ecklonia arborea",21,"Isla Natividad",27.87691,-115.1699
"277",2009,"La Guanera",12,"Ecklonia arborea",50,"Isla Natividad",27.87691,-115.1699
"278",2009,"La Guanera",13,"Ecklonia arborea",0,"Isla Natividad",27.87691,-115.1699
"279",2009,"La Guanera",14,"Ecklonia arborea",32,"Isla Natividad",27.87691,-115.1699
"280",2009,"La Guanera",15,"Ecklonia arborea",6,"Isla Natividad",27.87691,-115.1699
"281",2009,"La Guanera",16,"Ecklonia arborea",20,"Isla Natividad",27.87691,-115.1699
"282",2009,"La Guanera",17,"Ecklonia arborea",3,"Isla Natividad",27.87691,-115.1699
"283",2009,"La Guanera",18,"Ecklonia arborea",0,"Isla Natividad",27.87691,-115.1699
"284",2009,"La Guanera",19,"Ecklonia arborea",14,"Isla Natividad",27.87691,-115.1699
"285",2009,"La Guanera",20,"Ecklonia arborea",0,"Isla Natividad",27.87691,-115.1699
"286",2009,"La Guanera",21,"Ecklonia arborea",6,"Isla Natividad",27.87691,-115.1699
"287",2009,"La Guanera",22,"Ecklonia arborea",20,"Isla Natividad",27.87691,-115.1699
"288",2009,"La Guanera",23,"Ecklonia arborea",13,"Isla Natividad",27.87691,-115.1699
"289",2009,"La Plana",1,"Ecklonia arborea",1,"Isla Natividad",27.84616,-115.1653
